20121219T1106,"To do":1/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1107,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1108,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1119,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1122,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1143,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1144,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1147,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1154,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1207,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1208,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1209,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1214,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1215,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1216,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1217,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1217,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1218,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1219,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1219,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1220,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1222,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1223,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1223,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1224,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121219T1224,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1042,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1043,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1049,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1050,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1051,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1052,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1054,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1057,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1058,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1058,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1058,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1059,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1102,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1104,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1105,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1106,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1107,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
20121220T1107,"To do":2/2,"Development":2/2,"Deploy":1/1,"Done":0/0
